timestamp,BTC-USDT,ADA-USDT,ratio,zscore,profit_1,profit_2
1681448135.0,30695.5000000000,0.4415000000,69525.48131370328425821064553,-0.4085756125903676798054617500,0,0.0006790402897238569488456315075
1681448136.0,30695.5000000000,0.4415000000,69525.48131370328425821064553,-0.4078993517615365808687969852,0,0.0006790402897238569488456315075
1681448137.0,30695.5400000000,0.4415000000,69525.57191392978482446206116,-0.4072170366646249443367476486,0,0.0006790402897238569488456315075
1681448138.0,30695.9100000000,0.4415000000,69526.40996602491506228765572,-0.4064819117741565122523870383,0,0.0006790402897238569488456315075
1681448139.0,30695.9100000000,0.4415000000,69526.40996602491506228765572,-0.4057461884074696466824830535,0,0.0006790402897238569488456315075
1681448140.0,30695.9100000000,0.4415000000,69526.40996602491506228765572,-0.4050098627452470797247216902,0,0.0006790402897238569488456315075
1681448141.0,30695.9100000000,0.4415000000,69526.40996602491506228765572,-0.4042717904194641299030725199,0,0.0006790402897238569488456315075
1681448142.0,30695.9100000000,0.4415000000,69526.40996602491506228765572,-0.4035345270313171589445759361,0,0.0006790402897238569488456315075
1681448143.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.4024891961340000141569470687,0,0.0006790402897238569488456315075
1681448144.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.4014423078159963343045026765,0,0.0006790402897238569488456315075
1681448145.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.4013981875494880672935918639,0,0.0004526935264825712992304210050
1681448146.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.4013550400967420306347033593,0,0.0004526935264825712992304210050
1681448147.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.4013128720389799031622927896,0,0.0004526935264825712992304210050
1681448148.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.4012716900265870798857153445,0,0.0004526935264825712992304210050
1681448149.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.4012315007800019838043091121,0,0.0004526935264825712992304210050
1681448150.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.4011909483225371137532328359,0,0.0004526935264825712992304210050
1681448151.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.4001511988878084050989654189,0,0.0006790402897238569488456315075
1681448152.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3979908037419414427868344145,0,0.0006790402897238569488456315075
1681448153.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3958263066246105136058130738,0,0.0006790402897238569488456315075
1681448154.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3936576795808633391661821275,0,0.0006790402897238569488456315075
1681448155.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3915058932934112586260232597,0,0.0006790402897238569488456315075
1681448156.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3893506919633682199018178539,0,0.0006790402897238569488456315075
1681448157.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3871920555033836619457984446,0,0.0006790402897238569488456315075
1681448158.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3850299636734906897476813595,0,0.0006790402897238569488456315075
1681448159.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3828643960795353263064431549,0,0.0006790402897238569488456315075
1681448160.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3806953321715858056339587400,0,0.0006790402897238569488456315075
1681448161.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3791466241707910505672361314,0,0.0006790402897238569488456315075
1681448162.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3780363259158386326756056573,0,0.0006790402897238569488456315075
1681448163.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3769245753671457185469268596,0,0.0006790402897238569488456315075
1681448164.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3758113638731838331926157697,0,0.0006790402897238569488456315075
1681448165.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3724296753889328773007995344,0,0.0006790402897238569488456315075
1681448166.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3683046120641055682107177225,0,0.0006790402897238569488456315075
1681448167.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3641720419423140892481561517,0,0.0006790402897238569488456315075
1681448168.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3600319199976382889223055000,0,0.0006790402897238569488456315075
1681448169.0,30698.0600000000,0.4415000000,69531.27972819932049830124575,-0.3570215670017640591528439999,0,0.0006790402897238569488456315075
1681448170.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.3550269384536740277498862599,0,0.0004526935264825712992304210050
1681448171.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.3530291175105613381790287133,0,0.0004526935264825712992304210050
1681448172.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.3510280835306597392787147254,0,0.0004526935264825712992304210050
1681448173.0,30698.0600000000,0.4416000000,69515.53442028985507246376812,-0.3490238157069363063497803983,0,0.0004526935264825712992304210050
1681448174.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3470148248097192852483002588,0,0.0004526935264825712992304210050
1681448175.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3450025547332951584207366981,0,0.0004526935264825712992304210050
1681448176.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3429869841452153091892065372,0,0.0004526935264825712992304210050
1681448177.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3409680915402064759497449947,0,0.0004526935264825712992304210050
1681448178.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3389458552382550242416999708,0,0.0004526935264825712992304210050
1681448179.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3368885946194498261620329238,0,0.0004526935264825712992304210050
1681448180.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3348271393173312916020583590,0,0.0004526935264825712992304210050
1681448181.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3327648150487059704532541597,0,0.0004526935264825712992304210050
1681448182.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3306571698618408111875770199,0,0.0004526935264825712992304210050
1681448183.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3285435847526790174634824807,0,0.0004526935264825712992304210050
1681448184.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3267791470445344940388307035,0,0.0004526935264825712992304210050
1681448185.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3250881469367293770226151938,0,0.0004526935264825712992304210050
1681448186.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3233943627226970485229697242,0,0.0004526935264825712992304210050
1681448187.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3209321137535693606256480662,0,0.0004526935264825712992304210050
1681448188.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3184671834781404058398423007,0,0.0004526935264825712992304210050
1681448189.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3163747997679885957302459904,0,0.0004526935264825712992304210050
1681448190.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3142787946791608531181500022,0,0.0004526935264825712992304210050
1681448191.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3121338185195154366710039250,0,0.0004526935264825712992304210050
1681448192.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3099850777898871236142942565,0,0.0004526935264825712992304210050
1681448193.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3066636774142630518845009903,0,0.0004526935264825712992304210050
1681448194.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.3032963468855600254201645111,0,0.0004526935264825712992304210050
1681448195.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.2999565311060079477947405411,0,0.0004526935264825712992304210050
1681448196.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.2966101669508199566483772723,0,0.0004526935264825712992304210050
1681448197.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.2932572101525047284226560905,0,0.0004526935264825712992304210050
1681448198.0,30698.0700000000,0.4416000000,69515.55706521739130434782609,-0.2887226011843932698453935241,0,0.0004526935264825712992304210050
